Species ID,Red List status,Population trend,Extracted population decline,Population decline years,Population decline details,gen_length_d
2062,LC,stable,-6.4% annually,2002/03 – 2012/13,"This decline is recent, relatively slow (a mean annual rate of -6.4 % for the period 2002/03 – 2012/13)...However, pup production at Marion Island (within the Prince Edward 
Islands) declined by 6.4% between 2003/2004 and 2012/2013 (Wege et al. in prep.). At Prince Edward Island itself, pup production remained very
 close to stable between 2001/2002 and 2008/2009 (0.3% mean annual decline; Bester et al. 2009)...Generation length has been calculated at 10.7 years (Pacifici et al. 2013). Population change over the three generations from 1981–2012 has been positive (Guinet et al. 1994, SCAR EGS 2008, Bester et al. 2009, Wege et al. in prep.)",NA
70205537,VU,decreasing,20%-50%,15 years (three generations),"Although rates in the eastern parts of its range, notably Viet Nam and Lao PDR, on average probably exceed 50% per 15 years (three generations), in large parts of the west and centre they may not even reach rates appropriate for Near Threatened listing (20-25%).",NA
2144,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
44991,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
2150,VU,decreasing,> 30%,10-year period,It is suspected that the rate of population decline exceeds 30% over a 10-year period.,NA
40602,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
2276,EN,decreasing,>50%,45 years (three generations),there is reason to believe the species has declined by at least 50% over the past 45 years (three generations),NA
41547,EN,decreasing,>50%,45 years (3 generations),there is reason to believe the species has declined by at least 50% over the past 45 years (three generations),NA
135446,CR,decreasing,>80%,past 45 years (three generations),estimated population decline of more than 80% over the past 45 years (three generations),NA
39961,CR,decreasing,>80%,the past 45 years (three generations),Listed as Critically Endangered as there is reason to believe the species has declined by at least 80% over the past 45 years (three generations) due primarily to hunting and habitat loss.,NA
2282,EN,decreasing,>50%,over the past 45 years (three generations),"declined by at least 50% over the past 45 years (three generations)...Over the coming 45 years, this decline is likely to reach similar proportions",NA
2283,VU,decreasing,30%≤,over the past 45 years (three generations),there is reason to believe the species has declined by at least 30% over the past 45 years (three generations),NA
6924,NT,decreasing,20–25%,over the past 12 years (estimated generation length = 4 years),has declined in the region of 20–25% over the past 12 years (estimated generation length = 4 years),NA
2353,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
2395,LC,stable,NA,NA,unlikely to be declining.,NA
21313,LC,decreasing,NA,NA,unlikely to be declining,NA
2434,VU,decreasing,>30%,in the future over a three generation time period of 30 years,A predicted population reduction of ≥30% in the future over a three generation time period of 30 years,NA
136285,VU,decreasing,≥30%,over a three-generation time period (30 years) in the future,A population reduction of ≥30% is predicted to occur over a three-generation time period (30 years) in the future,NA
41783,LC,unknown,NA,50 years,45%,NA
41784,EN,decreasing,Total ≥50%,1997-2018,"“It is still believed that the most appropriate category for Hog Deer is Endangered A2bcd (past reduction of 50% or greater in three generations, taken here as about 21 years).”",NA
2461,VU,decreasing,NA,NA,this species has declined in the past largely.,NA
2474,LC,stable,NA,NA,"While declines have been detected or inferred in some areas, there is no indication that the global population has declined to an extent that would qualify for a threatened category.",NA
2480,DD,unknown,31%,1989-2013,The population was estimated to have declined by 31% relative to the previous circumpolar surveys (1986-1991).          generation time 22 years.       (IWC estimation - 2013),NA
2475,EN,unknown,~80%,"Last three generations 1937-2007 (IUCN: ""Generation time and maximum rate of increase: The generation time is estimated to be 23.3 years (Taylor et al. 2007). The 3-generation time window for applying the decline criterion (A) is 1937–2007."")","""The global mature population is estimated to have declined by about 80% 
over the last three generations (Figure 1 in supplementary material).""",NA
2476,DD,unknown,None,1962-2016.,global population of Bryde's Whales was probably not substantially reduced by whaling,NA
2477,EN,increasing,3-11%,1914-2007 (3 generations),"Although there are uncertainties over present abundance, the total 
population has been depleted by at least 70%, and possibly as much as 
90%, over the last three generations, assuming a 31-year average 
generation time.",NA
2478,EN,unknown,Total >70%,1929-2007,"""The analysis in this assessment estimates that the global population has declined by more than 70% over the last three generations (1929-2007), although in the absence of current substantial catches it is probably increasing.""",NA
2532,VU,decreasing,30%<,in the last ten years,estimated to have declined by more than 30% due to habitat loss and degradation in the last ten years,NA
2540,LC,increasing,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
2553,NT,decreasing,30%,15 year,NA,NA
48637566,LC,decreasing,NA,NA,it is assumed to be in decline.,NA
2675,NT,decreasing,20%-25%,"over the last 10 years (a period exceeding three generations, with one generation taken as three years)","a population decline of 20–25% over the last 10 years (a period exceeding three generations, with one generation taken as three years)...such rates are expected to continue for the next three generations",NA
136686,VU,decreasing,"a total population containing between 7,000 and 9,400 mature individuals (roughly estimated based on a range area of ca 35,000 km², an average population density highly unlikely to exceed 3–4 individuals/10 km², and a proportion of mature individuals of 67%)",>10%,"over the past 10 years (this exceeds the period of three generations, with one generation taken to be three years)",1825
6234,CR,decreasing,>80%,the past three generations (16 years),Hirola has shown a greater than 80% decline (and continuing) over the past three generations (16 years),2253.9745
2762,DD,unknown,>30%,over three generations,.naturally rare.      no information on trends in the global abundance of this species.     30% global reduction over three generations,NA
2763,DD,unknown,NA,30%,81 years - three generations,NA
2767,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
2768,LC,decreasing,NA,NA,unlikely to be declining.,NA
2785,CR,decreasing,NA,over the past 10 years and the decline is continuing,a >90% reduction in population size over the past 10 years and the decline is continuing,1517.6945
2801,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
2823,LC,unknown,NA,NA,unlikely to be declining fast,NA
2827,LC,decreasing,NA,NA,unlikely to be declining.,NA
2828,VU,decreasing,>30%,"a time period of three generations (15 years), including both past (10 years) and future (five years)","Based on rates of current decline, and considering a time period of three generations (15 years), including both past (10 years) and future (five years), this species have declined by more than 30%.",NA
2891,VU,decreasing,Partial >70%,1991-2018,"Partial, ""over the last three generations (generation length estimated at 8-10 years), Indochina and Malaysia, perhaps also Myanmar and China""",3285
2888,EN,decreasing,>50%,over the past ~21 years (generation-length estimated at 7 years) 1997-2018,“Banteng is experiencing ongoing range-wide population declines of >50% over the past ~21 years (generation-length estimated at 7 years).”,3285
2892,VU,decreasing,≥10%,in 30 years (generation length estimated at 10 years),there will be a continuing decline of at least 10% in 30 years (generation length estimated at 10 years),3650
2890,CR,3.1,1-50,mature individuals: 0-50,<80%,NA
2982,LC,unknown,NA,NA,unlikely to be declining.,NA
2993,EN,decreasing,>80%,past 60 years,"It is also entirely possible that this species has suffered a decline exceeding 80% over the course of the past 60 years, thereby potentially qualifying for listing under criterion A.",7300
2994,CR,decreasing,>80%,the past 3 generations (60 years),"ongoing population decline, greater that 80% over the past 3 generations (60 years)",7300
3129,EN,2008,"The remaining world population totals under 4,000, with an estimate of fewer than 2,500 mature individuals. An estimated population reduction of at least 50% over the last three generations (generation length estimated at 8–10 years) seems likely given the severity of the threats, especially hybridization; it is projected to continue into the future.",> 50%,over the last three generations (generation length estimated at 8–10 years),NA
3126,EN,decreasing,>20%,two generations (14 to 18 years),rate of decline is believed to be greater than 20% over two generations (14 to 18 years),2920
3127,CR,decreasing,>25%,over the next three generations (generation length estimated at 10 years),over 25% over the next three generations (generation length estimated at 10 years),3650
3128,EN,decreasing,20%,over two generations (generation length of 7 to 9 years),20% over two generations (generation length of 7 to 9 years),2920
3160,VU,decreasing,30%≤,over the last three generations (estimated at 24 years),a probable decline of at least 30% over the last three generations (estimated at 24 years),NA
3322,LC,stable,NA,NA,unlikely to be declining fast enough.,NA
3326,CR,decreasing,>60%,last 70 years,It is estimated that over the last 70 years the population has declined by 60% or more. Population decline of 10% or more is predicted to occur between 2002 and 2022.,NA
3327,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
3413,NT,unknown,20-25%,last three generations (suspected to be around 15 years),decline may have approached 20-25% over the last three generations (suspected to be around 15 years),NA
3416,VU,decreasing,<30%,30 years,there is reason to believe the species has declined by at least 30% over the past 30 years,NA
136640,VU,decreasing,>30%,past 30 years (three generations),declined by at least 30% over the past 30 years (three generations),NA
40521,NT,decreasing,20%,10 years,ongoing population decline.                      led to a decline in the order of 20% over 10 years.,NA
40522,VU,decreasing,30%,10 years,population decline of 30% over the last 10 years,NA
41506,LC,unknown,NA,NA,current absence of major threats.,NA
41560,LC,unknown,NA,NA,no suggestion that the species is currently undergoing a significant decline.,NA
41552,LC,unknown,NA,NA,no known major threats believed to be resulting in a decline,NA
14699281,CR,decreasing,<80%,24 years,"suspected population decline, estimated to be more than 80% over a period of 24 years (three generations)",NA
39944,VU,decreasing,>30%,over the past 25 years (three generations),there is reason to believe the species has declined by at least 30% over the past 25 years (three generations),NA
39930,VU,decreasing,>30%,over the past 24 years (3 generations),a continuing decline exceeding 30% over the past 24 years (3 generations),NA
39943,NT,decreasing,20%-25%,over the past 25 years (three generations),a decline in the region of 20-25% over the past 25 years (three generations),NA
3553,CR,decreasing,≥80%,over the last 25 years,a population reduction of ≥80% has occurred over the last 25 years,NA
39928,VU,decreasing,NA,NA,a continued decline inferred from more than a 30% loss of habitat in the past 3 generations (24 years),NA
3555,VU,decreasing,30%<,in the past 24 years (3 generations),a continuing and past decline exceeding 30% in the past 24 years (3 generations),NA
3575,NT,decreasing,20%-25%,over the past 18 years,a decline in the order of 20-25% over the past 18 years,NA
3590,VU,decreasing,30.10%,1972–2014,"""The Pribilof Islands population represents just under one half of the world-wide population and has declined by approximately 66% over the last three generations (1972–2014). The global change in abundance during that same period was 30.1% (95% CI -47.1% to 14.5%).""",NA
3593,LC,decreasing,NA,NA,unlikely to be declining.,NA
3594,LC,stable,NA,NA,unlikely to be declining.,NA
3609,LC,stable,NA,NA,unlikely to be declining.,NA
3611,LC,stable,NA,NA,unlikely to be declining.,NA
136689,LC,increasing,NA,NA,unlikely to be declining.,NA
3618,LC,unknown,NA,NA,habitat is not under threat,NA
3619,LC,unknown,NA,NA,unlikely to be declining.,NA
63543,CR,decreasing,NA,NA,population size reduction of at least 80% within the next three generations (estimated at 45 to 50 years),5840
3786,VU,decreasing,NA,NA,"Listed as Vulnerable because of a population decline, estimated to be more than 30% over the last three generations",NA
3794,EN,decreasing,<50%,last 3 generations,"serious population decline, estimated to be more than 50% over the last three generations (estimated at 21 years)",2555
3795,NT,decreasing,NA,NA,nd a decline of >10% over the next three generations (estimated at 21 years) is possible,2555
3796,VU,decreasing,10%,two generations (generation length estimated at 8 years),"There is currently a lack of population data for some parts of the range of the Nubian Ibex; however, it is estimated that there are less than 10,000 mature individuals. There is a continuing decline rate estimated at 10% over two generations (generation length estimated at 8 years).",NA
3797,EN,2008,the species is estimated at around 500 individuals (probably less than 250 mature individuals total),NA,NA,1956.36625
3814,NT,decreasing,30%>,"over three generations, taken at 21 years","less than 30% over three generations, taken at 21 years",NA
3812,VU,decreasing,probably >30%,"over three generations, taken at 21 years","believed to be in significant decline (probably at a rate of mores than 30% over three generations, taken at 21 years)",NA
3816,NT,decreasing,30%>,"over three generations, taken at 21 years","in significant decline (but probably at a rate of less than 30% over three generations, taken at 21 years)",NA
88110411,LC,stable,NA,NA,likely to have stable populations.,NA
7799,LC,unknown,NA,NA,unlikely to be declining,NA
3999,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
4015,EN,decreasing,>50%,over three generations in the present and the future,"a serious population decline, estimated to be more than 50% over three generations in the present and the future",NA
4037,EN,decreasing,>30%,in the past 12 years,"Extrapolation of this estimate to the wider AOO suggests that the number of mature individuals could plausibly be fewer than 2,500 individuals indicating, in combination with the estimated past decline rate (>30% in the past 12 years).",NA
4038,NT,decreasing,20%-30%,in recent years,"declines of over 20%, and approaching 30% in recent years",NA
86257782,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a threat category.,NA
4081,CR,decreasing,>80%,past 3 generations (48 years),a serious reduction (>80%) in the forested habitat available over the past 3 generations (48 years).,NA
39951,LC,decreasing,NA,NA,unlikely to be undergoing a decline that would warrant listing in a threatened category.,NA
40019,CR,decreasing,>80%,over the past 3 generations (48 years),reduction over the past 3 generations (48 years). During this period it is estimated that the population has been reduced by at least 80%,NA
39952,EN,decreasing,>50%,past 3 generations (48 years),ongoing decline in the population estimated to be greater that 50% over the past 3 generations (48 years),NA
4137,VU,decreasing,> 30%,three generations (14 years: 2013-2027),overall a decline greater than 30% is suspected over three generations (14 years: 2013-2027),703.088
4138,LC,decreasing,NA,NA,"Population trends are generally stable in the core areas of its range where human densities are low, but declining elsewhere.",1936.42625
4139,NT,decreasing,>20%,over 3 generations (15 years),decline of more than 20% over 3 generations (15 years),2362.6281
4140,EN,decreasing,20%,over two generations (12.6 years),a 20% decline over two generations (12.6 years) is estimated,1825
4141,NT,decreasing,20%-25%,over 3 generations (14 years),a population decline of 20-25% over 3 generations (14 years),836.8205
4150,NT,decreasing,20%-25%,over 3 generations (19 years) starting in 2008,past and ongoing decline of 20-25% over 3 generations (19 years) starting in 2008,2275.945333
4152,LC,decreasing,NA,NA,likely to be declining,2066.138333
4153,VU,decreasing,10%,14 years (three generations),"Zebra Duiker is listed Vulnerable because the population is estimated at fewer than 10,000 mature individuals with an estimated 10% decline in 14 years (three generations)",1825
136615,LC,stable,NA,NA,numbers are relatively stable,NA
136933,NT,decreasing,20-25%,over the past 27 years.,Listed as Near Threatened as this species is presumed to have declined by 20-25% over the past 27 years. It is more widespread and more secure than the former subspecies,NA
4206,EN,decreasing,>50%,over the past 27 years,presumed to have declined by at least 50% over the past 27 years,NA
4201,VU,decreasing,>30%,over the past 27 years (three generations),it is likely that it has undergone a decline exceeding 30% over the past 27 years (three generations),NA
136930,LC,unknown,NA,NA,It is hunted.                 not thought to be declining.,NA
4216,CR,2008,estimates indicate that there could be fewer than 200 individuals left in the wild (M. Hurley pers. comm.).,NA,NA,3875.131454
4218,VU,decreasing,30%,27 years (three generations).,undergone a decline in the order of 30% over the past ~27 years (three generations).,NA
4219,VU,decreasing,>30%,30-year time-frame (given a 10-year generation period),overall population reduction of more than 30% over a 30-year time-frame (given a 10-year generation period).,NA
4232,EN,decreasing,>>50% or even >80%,NA,very likely to have undergone a decline well exceeding 50% (and perhaps even exceeding 80%),NA
4229,VU,decreasing,>30%,over the past 27 years (assuming a generation length of nine years),believed to have undergone a decline exceeding 30% over the past 27 years (assuming a generation length of nine years),NA
4261,LC,increasing,NA,NA,"In the mid 1960s the population consisted of 350-500 individuals; special reserves were established for the protection of C. h. bactrianus and populations were restored in parts of its former range. By 1989 there were approximately 900 individuals in 13 groups. However, after the break up of the Soviet Union only 350 individuals remained as a result of poaching.    A drastic decline in the Dachigam Hangul population was reported soon after 1947, when the 3,000-5,000 animals estimated in the early 1900s suddenly dropped to 180 animals in 1965, although there are considerable doubts of the veracity of the earlier population estimates (Gee 1965, Mukesh et al. 2015, M.K. Ranjitsinh pers. comm. 2016).       In China, C. h. yarkandensis had a declining population of about 4,000–5,000 in 1991, scattered along the Tarim and Karakax rivers, central Xinjiang Province (Gu Jinghe 1991, Wilson and Mittermeier 2011).",5209.4516
4305,LC,decreasing,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
67360705,LC,increasing,NA,NA,recent population expansion,NA
4308,LC,stable,NA,NA,unlikely to be declining.,NA
4313,VU,decreasing,>30%,over a ten year time period including the past and the future,declining by at least 30% over a ten year time period including the past and the future,NA
92459293,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
4327,LC,stable,NA,NA,unlikely to be in decline.,NA
4328,LC,stable,NA,NA,unlikely to be declining,NA
4329,LC,stable,NA,NA,unlikely to be declining.,NA
4422,NT,decreasing,<30%,over three generations,less than 30% over three generations,NA
4425,VU,decreasing,>30%,in past 10 years,populations have declined by more than 30% in past 10 years and these declines continue,NA
54778911,DD,decreasing,NA,NA,Population densities have been estimated at 59–110 individuals/km2 in different locations.,NA
4652,EN,decreasing,36%,over the past 3 generations (15 years),Population estimates have also show a 36% decline over the past 3 generations (15 years)...Based on population estimates there has been a decline of approximately 36% over the past 20 years (Amy Deane pers. comm.). [Uri: note discrepancy (15 years vs 20 years)],1825
4685,EN,decreasing,> 50%,over the coming 30 years (three generations),Listed as Endangered as there is reason to believe this species will decline by at least 50% over the coming 30 years (three generations),NA
39956,CR,decreasing,80%≤,over the past 30 years (three generations),declined by at least 80% over the past 30 years (three generations),NA
43892,EN,decreasing,≥50%,over the coming 30 years (three generations),NA,NA
41436,NT,decreasing,~30%,over the next ten years,in significant decline (suspected to be close to 30% reduction over the next ten years,NA
4775,VU,unknown,NA,30%<,over the next three generations (with a generation length of six years,NA
10032,EN,decreasing,~20%,over two generations (26 years,A continuing decline of around 20% over two generations (26 years,5062.938695
4806,EN,decreasing,Total >50%,2003-2018,"""Owston's Civet is listed as Endangered A2bcd, A3bcd, A4cd because of an 
ongoing population decline, inferred to exceed 50% over the last three 
generations (taken as 15 years) and suspected to continue for the next 
three.""",NA
4811,LC,stable,NA,NA,unlikely to be declining,NA
40600,LC,unknown,NA,NA,not appear to be in decline.,NA
4819,NT,unknown,~20%,15 years (three generations),rates over 15 years (three generations) resulted in an estimated reduction of ~20% in the metapopulation,2032.3307
4829,VU,unknown,"small area of occupancy, six locations where its presence is still certain, probable decline in number of locations and area/extent/quality of suitable habitat, and the persistent, varied threats to the population across its entire range",NA,NA,NA
5076,VU,decreasing,30%≤,over a 15 year period including the past and the future,estimated to be at least 30% over a 15 year period including the past and the future,NA
5113,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
5144,VU,unknown,>30%,over the past ~30 years,a decline exceeding 30% over the past ~30 years,NA
5145,VU,decreasing,>30%,over the past 30 years (three generations),well over 30% over the past 30 years (three generations),NA
5146,VU,unknown,<30%,the past 30 years,a decline exceeding 30% over the past 30 years (three generations),NA
5224,VU,decreasing,~30%,"over past, current and future 10-year periods","likely in significant decline (at a rate that is imprecisely known but about 30% over past, current and future 10-year periods)",639.6318318
5228,LC,increasing,NA,NA,"There are at least an estimated 16,260 individuals (counts conducted between 2012 and 2015) on protected areas across the Free State, Gauteng, North West, Northern Cape, Eastern Cape, Mpumalanga and KwaZulu-Natal (KZN) provinces (mostly within the natural distribution range). This yields a total mature population size of 9,765-11,382 (using a 60-70% mature population structure). This is an underestimate as there are many more subpopulations on wildlife ranches for which comprehensive data are unavailable.  Nationally, there has been an estimated population increase of 213% (2,567 to 8,063 individuals) over three generations (1992-2015) using a sample of 16 formally protected areas for which long-term data are available.",2860.14
41527,LC,unknown,NA,NA,unlikely to be declining.,NA
5481,VU,decreasing,10%,in the next ten years,"based on population declines in Thailand it is expected to decline by 10% in the next ten years...From 1983 to 1997, there has been a 10% decrease while from 1998 to the present a 14% decrease has been estimated.",NA
16025,LC,stable,NA,NA,unlikely to be declining .,NA
5523,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
5524,LC,unknown,NA,NA,No decline in population.,NA
40618,LC,unknown,NA,NA,the population does not appear to be in decline,NA
48296412,LC,unknown,NA,NA,unlikely to be declining,NA
5621,LC,unknown,NA,NA,unlikely to be declining,NA
5559,LC,decreasing,NA,NA,no known major threats,NA
136726,LC,stable,NA,NA,no major threats.,NA
40620,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
5598,LC,decreasing,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
136742,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
5623,LC,unknown,NA,NA,unlikely to be declining.,NA
5588,VU,decreasing,NA,NA,The population trend has not been quantified but it is suspected to be decreasing.,NA
5706,VU,decreasing,>30%,over 10 years,"an assumed population decline, estimated to be more than 30% over 10 years",NA
5748,CR,unknown,sympatric with E. granti and possibly underestimated due to external resemblance thereto.,NA,NA,NA
136845,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
5760,VU,decreasing,> 30%,last three generations (taken as 21 years),"over the course of the last three generations (taken as 21 years), the population has dropped by more than 30%",2555
5796,EN,decreasing,NA,NA,continuing decline in the extent and quality,NA
5798,LC,stable,NA,NA,unlikely to be declining.,NA
5812,VU,decreasing,>30%,over the past 10 years,estimated to be more than 30% over the past 10 years,NA
5823,NT,decreasing,<30%,over ten years,probably at a rate of less than 30% over ten years,NA
136758,DD,unknown,"C. viperinus is found in northern Tucuman Province, Argentina (Woods and Kilpatrick, 2005).",NA,NA,NA
699,LC,stable,*,NA,NA,NA
700,NT,decreasing,<30%,over ten years,probably in significant decline (but probably at a rate of less than 30% over ten years),NA
6103,LC,unknown,NA,NA,unlikely to be declining.,NA
6204,VU,unknown,3.7%/year,NA,"it has been declining at a rate of 3.7%/year.   Assuming that the entire population will decline at 3.7%/year (which is the West Ice rate of decline currently), the three generation reduction would be 75%",NA
6220,LC,stable,NA,NA,unlikely to be declining.,NA
42188,LC,unknown,"50% (partial, see column  AI)",in the last ten years,In Telmessos National Park in Turkey… has declined by over 50% in the last ten years,NA
6267,LC,unknown,NA,NA,unlikely to be declining.,NA
6285,CR,decreasing,>80%,over the last three generations (10 years),more than 80% over the last three generations (10 years),NA
6288,NT,decreasing,20%-25%,the past three generations (suspected to be around 12 years,Dasypus hybridus is listed as Near Threatened as it is believed to have undergone a decline of approximately 20 to 25% over the past three generations (suspected to be around 12 years) due to severe habitat loss and hunting throughout its range. The species was previously more widespread and locally more common (over 30 years ago). It almost qualifies as threatened under criterion A2cd,NA
6265,VU,decreasing,NA,NA,It has suffered decline in the past and will likely continue to decline.,1049.08055
6299,NT,decreasing,NA,NA,declines have been recorded at a number of localities,NA
6295,EN,decreasing,>50%,last 10 years,"population decline, estimated to exceed 50% over the last 10 years",NA
6296,EN,decreasing,"52%,  61-100%, 51-100%","52% (1999-2009), 61-100% (compared with trapping conducted 18-31 years earlier), 51-100% (over 1-12 years)","Analysis by Fancourt et al. (2013) of spotlight surveys from 147 sites across Tasmania revealed a 52% reduction in the number of Eastern Quoll sightings over the 10 years to 2009. Declines of 61-100% were observed in trapping surveys at three study sites compared with trapping conducted 18-31 years earlier. A reduction in trap success was recorded in five of six non-target surveys, with declines of 51-100% over 1-12 years.",1010.0935
6302,EN,decreasing,>50%,over a period of 30-36 years (three generations),a population decline of ≥50% over a period of 30-36 years (three generations)...A population reduction of ≥50% over the next 1-2 generations (10-24 years) is also projected,NA
6409,LC,decreasing,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
6431,VU,decreasing,>30%,"over the last generation (i.e, 10 years), and ... over the next two generations (i.e., 20 years)","more than 30% over the last generation (i.e, 10 years), and projected exceed 30% over the next two generations (i.e., 20 years)",NA
6437,EN,decreasing,>50%,"over the last three generations (i.e., 30 years)","an ongoing, drastic population decline, suspected to be more than 50% over the last three generations (i.e., 30 years)",NA
136732,EN,decreasing,≥50%,"in the last three generations (i.e., 30 years)","suspected to have undergone at least a 50% population reduction in the last three generations (i.e., 30 years)",NA
136696,CR,stable,90%,over the previous three generations (which in this species represents approximately 30 years),a very significant decline in population over the previous three generations (which in this species represents approximately 30 years). This decline is inferred to be a 90% reduction in population.,NA
6435,CR,decreasing,">80% in the past, see column AI for future decline","over the last generation (i.e, 10 years)","suspected to be more than 80% over the last generation (i.e, 10 years), and projected exceed 30% over the next two generations (i.e., 20 years)",NA
6436,VU,decreasing,30%,30 years...last three generations,a suspected reduction of population size of 30% or more over the last three generations. Generation length for this species is 10 years.,NA
136812,VU,decreasing,30%≤,"in the last three generations (i.e., 30 years)","suspected to have undergone at least a 30% population reduction in the last three generations (i.e., 30 years)",NA
6434,VU,decreasing,≥30%,"undergone at least a 30% population reduction in the last three generations (i.e., 30 years)",NA,NA
2123,LC,unknown,NA,NA,unlikely to be declining,NA
